Date,MMWR_week,State Code,Administered_Cumulative,Administered_Janssen_Cumulative,Administered_Moderna_Cumulative,Administered_Pfizer_Cumulative,Administered_Unk_Manuf_Cumulative,Admin_Per_100K_Cumulative,Administered_Daily,Administered_Janssen_Daily,Administered_Moderna_Daily,Administered_Pfizer_Daily,Administered_Unk_Manuf_Daily,Admin_Per_100K_Daily
12/13/2020,51,US,0,0,0,0,0,0,,,,,,
12/14/2020,51,US,509,0,3,506,0,0,509,0,3,506,0,0
12/15/2020,51,US,12638,0,8,12630,0,4,12129,0,5,12124,0,4
12/16/2020,51,US,51634,0,11,51623,0,16,38996,0,3,38993,0,12
12/17/2020,51,US,127342,0,32,127310,0,38,75708,0,21,75687,0,22
12/18/2020,51,US,254142,0,64,254074,4,77,126800,0,32,126764,4,39
12/19/2020,51,US,441650,0,203,441432,15,133,187508,0,139,187358,11,56
12/20/2020,52,US,651503,0,329,651098,76,196,209853,0,126,209666,61,63
12/21/2020,52,US,801460,0,1480,799504,476,241,149957,0,1151,148406,400,45
12/22/2020,52,US,991182,0,7631,983066,485,299,189722,0,6151,183562,9,58
12/23/2020,52,US,1359355,0,51925,1306877,553,409,368173,0,44294,323811,68,110
12/24/2020,52,US,1697791,0,132702,1564461,628,511,338436,0,80777,257584,75,102
12/25/2020,52,US,2033936,0,227152,1806050,734,613,336145,0,94450,241589,106,102
12/26/2020,52,US,2190414,0,296729,1892937,748,660,156478,0,69577,86887,14,47
12/27/2020,53,US,2252406,0,319743,1931913,750,678,61992,0,23014,38976,2,18
12/28/2020,53,US,2408626,0,393026,2014848,752,725,156220,0,73283,82935,2,47
12/29/2020,53,US,2723303,0,557988,2164540,775,820,314677,0,164962,149692,23,95
12/30/2020,53,US,3164852,0,785906,2378133,813,953,441549,0,227918,213593,38,133
12/31/2020,53,US,3738130,0,1107143,2630115,872,1126,573278,0,321237,251982,59,173
1/1/2021,53,US,4172658,0,1353338,2818377,943,1257,434528,0,246195,188262,71,131
1/2/2021,53,US,4463060,0,1511532,2950560,968,1344,290402,0,158194,132183,25,87
1/3/2021,1,US,4648339,0,1590783,3056474,1082,1400,185279,0,79251,105914,114,56
1/4/2021,1,US,4887811,0,1722058,3164334,1419,1472,239472,0,131275,107860,337,72
1/5/2021,1,US,5224925,0,1915589,3307478,1858,1574,337114,0,193531,143144,439,102
1/6/2021,1,US,5824980,0,2198275,3624697,2008,1755,600055,0,282686,317219,150,181
1/7/2021,1,US,6555680,0,2564617,3988958,2105,1975,730700,0,366342,364261,97,220
1/8/2021,1,US,7426145,0,2988329,4435578,2238,2237,870465,0,423712,446620,133,262
1/9/2021,1,US,8216629,0,3379465,4834806,2358,2475,790484,0,391136,399228,120,238
1/10/2021,2,US,8943724,0,3667912,5273314,2498,2694,727095,0,288447,438508,140,219
1/11/2021,2,US,9363164,0,3861491,5499106,2567,2820,419440,0,193579,225792,69,126
1/12/2021,2,US,9880022,0,4074172,5803228,2622,2976,516858,0,212681,304122,55,156
1/13/2021,2,US,10867507,0,4506947,6357625,2935,3273,987485,0,432775,554397,313,297
1/14/2021,2,US,11961374,0,4987294,6970921,3159,3603,1093867,0,480347,613296,224,330
1/15/2021,2,US,12917607,0,5441063,7473149,3395,3891,956233,0,453769,502228,236,288
1/16/2021,2,US,14058650,0,6029377,8025659,3614,4235,1141043,0,588314,552510,219,344
1/17/2021,3,US,14914759,0,6456262,8454799,3698,4492,856109,0,426885,429140,84,257
1/18/2021,3,US,15462809,0,6719698,8739247,3864,4658,548050,0,263436,284448,166,166
1/19/2021,3,US,16083963,0,7002366,9077329,4268,4845,621154,0,282668,338082,404,187
1/20/2021,3,US,16525281,0,7239750,9281063,4468,4978,441318,0,237384,203734,200,133
1/21/2021,3,US,17546374,0,7724683,9817027,4664,5285,1021093,0,484933,535964,196,307
1/22/2021,3,US,19107959,0,8407909,10695066,4984,5755,1561585,0,683226,878039,320,470
1/23/2021,3,US,20537990,0,9061112,11471457,5421,6186,1430031,0,653203,776391,437,431
1/24/2021,4,US,21848655,0,9689497,12153536,5622,6581,1310665,0,628385,682079,201,395
1/25/2021,4,US,22734243,0,10084432,12551999,97812,6848,885588,0,394935,398463,92190,267
1/26/2021,4,US,23540994,0,10431466,13009981,99547,7091,806751,0,347034,457982,1735,243
1/27/2021,4,US,24652634,0,11001991,13550835,99808,7426,1111640,0,570525,540854,261,335
1/28/2021,4,US,26193682,0,11737592,14355980,100110,7890,1541048,0,735601,805145,302,464
1/29/2021,4,US,27884661,0,12619210,15164858,100593,8399,1690979,0,881618,808878,483,509
1/30/2021,4,US,29577902,0,13499942,15977015,100945,8909,1693241,0,880732,812157,352,510
1/31/2021,5,US,31123299,0,14246089,16775916,101294,9375,1545397,0,746147,798901,349,466
2/1/2021,5,US,32222402,0,14756609,17364398,101395,9706,1099103,0,510520,588482,101,331
2/2/2021,5,US,32780860,0,15006565,17672866,101429,9874,558458,0,249956,308468,34,168
2/3/2021,5,US,33878254,0,15567188,18209204,101862,10204,1097394,0,560623,536338,433,330
2/4/2021,5,US,35203710,0,16260102,18841309,102299,10604,1325456,0,692914,632105,437,400
2/5/2021,5,US,36819212,0,17133644,19582865,102703,11090,1615502,0,873542,741556,404,486
2/6/2021,5,US,39037964,0,18336515,20598212,103237,11759,2218752,0,1202871,1015347,534,669
2/7/2021,6,US,41210937,0,19485089,21622193,103655,12413,2172973,0,1148574,1023981,418,654
2/8/2021,6,US,42417617,0,20066305,22247484,103828,12777,1206680,0,581216,625291,173,364
2/9/2021,6,US,43206190,0,20416765,22685406,104019,13014,788573,0,350460,437922,191,237
2/10/2021,6,US,44769970,0,21189540,23475749,104681,13485,1563780,0,772775,790343,662,471
2/11/2021,6,US,46390270,0,22038088,24246868,105314,13973,1620300,0,848548,771119,633,488
2/12/2021,6,US,48410558,0,23111715,25192628,106215,14582,2020288,0,1073627,945760,901,609
2/13/2021,6,US,50641884,0,24297615,26237417,106852,15254,2231326,0,1185900,1044789,637,672
2/14/2021,7,US,52884356,0,25505313,27271797,107246,15929,2242472,0,1207698,1034380,394,675
2/15/2021,7,US,54260570,0,26238684,27914550,107336,16344,1376214,0,733371,642753,90,415
2/16/2021,7,US,55220364,0,26738383,28374410,107571,16633,959794,0,499699,459860,235,289
2/17/2021,7,US,56281827,0,27287041,28886690,108096,16953,1061463,0,548658,512280,525,320
2/18/2021,7,US,57737767,0,28043413,29585627,108727,17391,1455940,0,756372,698937,631,438
2/19/2021,7,US,59585043,0,29044336,30431247,109460,17948,1847276,0,1000923,845620,733,557
2/20/2021,7,US,61289500,0,29909492,31270062,109946,18461,1704457,0,865156,838815,486,513
